,value,open_value,market_cap(억원),market_cap_rank,title
0,85300,84000,5092225,코스피1위,삼성전자
1,148500,141000,1081084,코스피2위,SK하이닉스
2,383000,380500,629129,코스피3위,NAVER
3,890000,867000,628272,코스피4위,LG화학
4,74100,73900,609759,코스피5위,삼성전자우
5,245000,239000,523487,코스피6위,현대차
6,775000,754000,512779,코스피7위,삼성바이오로직스
7,704000,704000,484102,코스피8위,삼성SDI
8,484500,478000,429605,코스피9위,카카오
9,308000,290500,415885,코스피10위,셀트리온
10,77000,76500,312130,코스피11위,기아차
11,314500,313500,298947,코스피12위,현대모비스
12,154000,153500,252018,코스피13위,LG전자
13,270000,277500,249657,코스피14위,SK이노베이션
14,283000,280000,246739,코스피15위,POSCO
15,1567000,1556000,244737,코스피16위,LG생활건강
16,125500,123500,234543,코스피17위,삼성물산
17,972000,963000,213393,코스피18위,엔씨소프트
18,252000,245000,203479,코스피19위,SK텔레콤
19,277000,270500,194898,코스피20위,SK
20,44750,43350,186074,코스피21위,KB금융
21,34100,33600,176160,코스피22위,신한지주
22,96300,95100,166173,코스피23위,LG
23,200000,199000,154756,코스피24위,삼성에스디에스
24,76700,75400,153400,코스피25위,삼성생명
25,23350,23350,149899,코스피26위,한국전력
26,196000,192500,146400,코스피27위,삼성전기
27,239000,234000,139716,코스피28위,아모레퍼시픽
28,162500,163000,125878,코스피29위,포스코케미칼
29,37850,37200,113642,코스피30위,하나금융지주
30,130000,124500,111652,코스피31위,넷마블
31,324000,313000,111052,코스피32위,롯데케미칼
32,79800,78700,109559,코스피33위,KT&G
33,88000,86800,99073,코스피34위,S-Oil
34,126000,126000,98675,코스피35위,SK바이오팜
35,16100,15950,85942,코스피36위,한온시스템
36,23700,24000,84802,코스피37위,LG디스플레이
37,175500,175000,83143,코스피38위,삼성화재
38,114000,111500,8681,코스피39위,한국조선해양
39,416000,420000,78499,코스피40위,고려아연
40,212000,215000,75522,코스피41위,빅히트
41,47150,45950,75376,코스피42위,한화솔루션
42,195000,197500,73125,코스피43위,현대글로비스
43,9820,9710,7927,코스피44위,우리금융지주
44,26200,26150,68411,코스피45위,KT
45,220500,219000,67181,코스피46위,금호석유
46,8520,8470,62934,코스피47위,기업은행
47,50800,48650,62929,코스피48위,한국타이어앤테크놀로지
48,9700,9670,62596,코스피49위,미래에셋대우
49,411000,409000,61873,코스피50위,CJ제일제당
50,18400,17500,6354,코스피51위,HMM
51,41150,40650,54913,코스피52위,현대제철
52,65200,64500,53763,코스피53위,아모레G
53,12200,12150,53267,코스피54위,LG유플러스
54,134500,130500,53176,코스피55위,오리온
55,24800,24950,53057,코스피56위,강원랜드
56,42890,42010,52133,,KODEX 200
57,92000,93300,51268,코스피58위,한국금융지주
58,28850,29000,5260,코스피59위,대한항공
59,67000,66400,49446,코스피60위,코웨이
60,208000,211500,49228,코스피61위,LG이노텍
61,173500,175000,48365,코스피62위,이마트
62,41550,41100,46268,코스피63위,현대건설
63,121000,124000,45821,코스피64위,SKC
64,385500,393000,45263,코스피65위,SK케미칼
65,387000,376500,45227,코스피66위,녹십자
66,84500,81200,44772,코스피67위,신풍제약
67,66100,63900,44488,코스피68위,한미사이언스
68,63500,63800,44433,코스피69위,유한양행
69,277500,276500,43841,코스피70위,현대중공업지주
70,350000,340500,42274,코스피71위,한미약품
71,6700,6630,42210,코스피72위,삼성중공업
72,11100,10450,41585,코스피73위,두산중공업
73,11100,11100,41313,,맥쿼리인프라
74,41200,41000,41076,코스피75위,동서
75,61300,60300,4619,코스피76위,한진칼
76,107000,104500,39039,코스피77위,현대차2우B
77,167500,166500,38211,코스피78위,CJ대한통운
78,39950,40500,37120,코스피79위,GS
79,31950,31350,37017,코스피80위,삼성카드
80,33900,33750,35564,코스피81위,롯데지주
81,53600,53500,35105,코스피82위,두산퓨얼셀
82,134500,134000,34833,코스피83위,키움증권
83,122500,122500,34654,코스피84위,롯데쇼핑
84,34500,33800,34586,코스피85위,두산밥캣
85,6850,6840,34514,코스피86위,쌍용양회
86,35150,34900,34262,코스피87위,한국항공우주
87,38000,37850,33934,코스피88위,삼성증권
88,73000,74200,33661,코스피89위,일진머티리얼즈
89,108500,107500,32756,코스피90위,더존비즈온
90,83400,84400,32733,코스피91위,호텔신라
91,37750,37050,32193,코스피92위,GS건설
92,415000,410000,31909,코스피93위,LG화학우
93,11300,11150,31799,코스피94위,NH투자증권
94,83000,82000,31539,코스피95위,에스원
95,32950,32950,3417,코스피96위,한국가스공사
96,64200,64200,3146,코스피97위,만도
97,5540,5690,29615,코스피98위,팬오션
98,41450,40400,29347,코스피99위,DB손해보험
99,122500,114500,29215,코스피100위,OCI
100,26150,25850,28056,코스피101위,대우조선해양
101,162000,159000,28000,코스피102위,BGF리테일
102,36300,35600,27951,코스피103위,GS리테일
103,246500,240000,27941,코스피104위,한솔케미칼
104,22500,22100,27759,코스피105위,포스코인터내셔널
105,94600,95100,27601,코스피106위,CJ
106,3140,3245,27272,코스피107위,한화생명
107,128500,130500,26985,코스피108위,현대오토에버
108,274000,274500,26976,코스피109위,신세계
109,107500,107500,26183,코스피110위,현대차우
110,13300,13400,26068,코스피111위,삼성엔지니어링
111,42725,41775,25934,,TIGER 200
112,58200,58500,25840,코스피113위,DB하이텍
113,3785,3775,25585,코스피114위,메리츠증권
114,41500,40800,25212,코스피115위,휠라홀딩스
115,6060,6010,25187,코스피116위,대우건설
116,34550,34450,24231,코스피117위,하이트진로
117,99500,98800,23416,코스피118위,한샘
118,360000,352500,23400,코스피119위,대한유화
119,72500,72200,23345,코스피120위,LS
120,38450,35300,23107,코스피121위,피비파마
121,20850,20050,22983,코스피122위,한화시스템
122,30550,30050,22900,코스피123위,한화
123,19900,19800,22893,코스피124위,제일기획
124,116500,107000,22553,코스피125위,DL이앤씨
125,37750,36150,21949,코스피126위,대웅
126,20000,19800,21828,코스피127위,현대로템
127,141500,145000,21791,코스피128위,F&F
128,79200,78500,21538,코스피129위,현대위아
129,53100,52200,21209,코스피130위,현대미포조선
130,565000,563000,2747,코스피131위,오뚜기
131,2060,2160,2619,,KODEX 200선물인버스2X
132,172500,170500,19710,코스피133위,종근당
133,38900,38950,19695,코스피134위,한화에어로스페이스
134,5980,6030,19491,코스피135위,BNK금융지주
135,21700,21500,19400,코스피136위,현대해상
136,82700,81700,19354,코스피137위,현대백화점
137,15950,15850,19240,코스피138위,메리츠화재
138,102730,102725,19188,,KODEX 단기채권
139,41150,39250,18234,코스피140위,영원무역
140,204000,202000,18128,코스피141위,KCC
141,27500,27050,18125,코스피142위,HDC현대산업개발
142,418000,413500,18090,코스피143위,효성티앤씨
143,10230,10110,17984,,KODEX 삼성그룹
144,59900,60000,17970,코스피145위,LS ELECTRIC
145,44000,44300,17959,코스피146위,현대엘리베이
146,27330,26275,17601,,KODEX 레버리지
147,13795,13515,17520,,KODEX MSCI Korea TR
148,82900,82900,17468,코스피149위,효성
149,13805,13470,17415,,KODEX 200TR
150,37000,35600,17400,코스피151위,녹십자홀딩스
151,7990,7870,17273,코스피152위,두산인프라코어
152,281000,281500,17092,코스피153위,농심
153,54900,55000,16960,코스피154위,아이에스동서
154,18000,19100,16744,코스피155위,한국앤컴퍼니
155,12200,12100,16349,코스피156위,메리츠금융지주
156,141000,137000,16337,코스피157위,대웅제약
157,17350,16930,15598,,TIGER MSCI Korea TR
158,72900,72100,15371,코스피159위,씨에스윈드
159,21300,20850,14756,코스피160위,롯데관광개발
160,699000,703000,14677,코스피161위,LG생활건강우
161,109520,109545,14632,,KODEX 종합채권(AA-이상)액티브
162,52900,51200,14272,코스피163위,코오롱인더
163,54000,53200,13932,코스피164위,롯데정밀화학
164,21450,21250,13908,코스피165위,부광약품
165,5550,5400,13774,코스피166위,SK네트웍스
166,44950,46700,13750,코스피167위,솔루스첨단소재
167,192000,187500,13709,코스피168위,신세계인터내셔날
168,69400,69700,13578,코스피169위,NHN
169,87500,86800,13511,코스피170위,DL
170,92900,89400,13384,코스피171위,지누스
171,52200,52100,13373,코스피172위,동원시스템즈
172,293000,290000,13126,코스피173위,효성첨단소재
173,93300,94700,13062,코스피174위,세방전지
174,32000,31800,13049,코스피175위,명신산업
175,56800,57700,12997,코스피176위,한국콜마
176,66200,67200,12603,코스피177위,SK디스커버리
177,73200,72000,12580,코스피178위,LG전자우
178,42975,42295,12463,,KBSTAR 200
179,27250,27250,12262,코스피180위,한전KPS
180,12250,12150,12251,코스피181위,KG동부제철
181,61200,60800,12240,코스피182위,이노션
182,27000,26300,12114,코스피183위,다우기술
183,7140,7280,12077,코스피184위,DGB금융지주
184,648000,635000,11936,코스피185위,영풍
185,22700,22350,11859,코스피186위,한올바이오파마
186,3880,3955,11702,,KODEX 인버스
187,5880,5910,11583,코스피188위,JB금융지주
188,4025,3945,11562,코스피189위,금호타이어
189,23500,23400,11537,코스피190위,솔루엠
190,22300,22250,11485,코스피191위,한미반도체
191,6240,6070,11412,코스피192위,영진약품
192,15100,15500,11236,코스피193위,아시아나항공
193,23250,23100,11207,코스피194위,에스엘
194,21000,20750,1945,코스피195위,보령제약
195,19315,19205,1778,,KODEX 2차전지산업
196,118500,119500,1636,코스피197위,롯데칠성
197,27350,26800,1601,코스피198위,LG상사
198,105000,104500,1552,코스피199위,코스맥스
199,943000,922000,1499,코스피200위,태광산업
200,57100,56700,1492,코스피201위,더블유게임즈
201,36500,36750,1229,코스피202위,풍산
202,14045,13220,1197,,KODEX 코스닥150 레버리지
203,16450,16650,1175,코스피204위,GKL
204,28400,28650,9968,코스피205위,CJ CGV
205,24600,24250,9882,코스피206위,티와이홀딩스
206,23450,23500,9586,코스피207위,휴켐스
207,10350,10450,9585,코스피208위,후성
208,50200,49000,9581,코스피209위,일양약품
209,79600,78200,9552,코스피210위,현대홈쇼핑
210,21200,21450,9540,코스피211위,진에어
211,15900,15350,9533,코스피212위,파미셀
212,7890,7880,9497,코스피213위,코리안리
213,258000,262000,9488,코스피214위,동원산업
214,64800,63100,9476,코스피215위,S&T모티브
215,38250,37650,9421,코스피216위,한섬
216,67000,67900,9339,코스피217위,하나투어
217,14950,15000,9052,코스피218위,화승엔터프라이즈
218,40730,40150,8993,,TIGER 200 IT
219,9190,9290,8979,코스피220위,현대그린푸드
220,102990,102960,8924,,KODEX 단기채권PLUS
221,9350,8790,8923,코스피222위,동국제강
222,23150,23750,8913,코스피223위,제주항공
223,39400,38650,8840,코스피224위,쿠쿠홈시스
224,14100,14000,8833,코스피225위,오리온홀딩스
225,124000,117500,8819,코스피226위,쿠쿠홀딩스
226,25350,25200,8783,코스피227위,대상
227,37150,36150,8770,코스피228위,롯데하이마트
228,100095,100105,8766,,TIGER 단기통안채
229,15400,15025,8670,,TIGER TOP10
230,1010,1025,8650,코스피231위,대한전선
231,39300,38500,8646,코스피232위,LIG넥스원
232,93300,94300,8612,코스피233위,SK가스
233,4990,4995,8581,,롯데리츠
234,5180,5180,8578,,제이알글로벌리츠
235,51700,50800,8399,코스피236위,유나이티드제약
236,79700,74900,8301,코스피237위,한국단자
237,119500,116000,8277,코스피238위,한일시멘트
238,43195,42515,8229,,ARIRANG 200
239,77700,78000,8203,코스피240위,아모레퍼시픽우
240,5720,5610,8194,,ESR켄달스퀘어리츠
241,16805,16900,8192,,TIGER KRX2차전지K-뉴딜
242,505000,499000,8170,코스피243위,삼성SDI우
243,127000,128500,8149,코스피244위,롯데제과
244,3295,3280,8049,코스피245위,대한해운
245,8200,8290,8009,코스피246위,넥센타이어
246,48350,47350,7989,코스피247위,두산
247,19900,19500,7960,코스피248위,한세실업
248,14700,14250,7792,코스피249위,락앤락
249,199000,196000,7680,코스피250위,동원F&B
250,43120,42195,7611,,KINDEX 200
251,153000,156500,7604,코스피252위,미원상사
252,17460,17380,7517,,TIGER 2차전지테마
253,45850,43750,7513,코스피254위,제이콘텐트리
254,87000,86500,7451,코스피255위,삼양홀딩스
255,14850,14650,7338,코스피256위,대덕전자
256,37200,37300,7329,코스피257위,현대건설기계
257,45450,45200,7259,코스피258위,케이씨씨글라스
258,4075,4035,7213,코스피259위,미래에셋생명
259,117000,116000,7202,코스피260위,동아쏘시오홀딩스
260,69200,67500,7193,코스피261위,삼화콘덴서
261,225000,226500,7178,코스피262위,효성화학
262,13950,13100,7083,코스피263위,대신증권
263,83800,83500,7076,코스피264위,동아에스티
264,31950,31800,7046,코스피265위,대림건설
265,36350,36300,6903,코스피266위,SK디앤디
266,74000,71500,6900,코스피267위,효성중공업
267,50700,51100,6898,코스피268위,경동나비엔
268,25850,25750,6827,코스피269위,애경산업
269,47750,47800,6782,코스피270위,일진다이아
270,89900,90500,6772,코스피271위,삼양식품
271,4190,4240,6761,코스피272위,동양생명
272,17550,17600,6708,코스피273위,한전기술
273,60200,53100,6663,코스피274위,덴티움
274,44400,45050,6637,코스피275위,한진
275,11100,11050,6631,코스피276위,HDC
276,39300,39250,6611,코스피277위,한일현대시멘트
277,73200,73100,6564,코스피278위,LG하우시스
278,18150,18000,6543,코스피279위,현대일렉트릭
279,17150,17000,6497,코스피280위,NICE
280,66240,66065,6492,,TIGER 미국나스닥100
281,17000,17000,6480,코스피282위,풀무원
282,14300,14400,6402,코스피283위,진원생명과학
283,43500,42300,6397,코스피284위,제일약품
284,3160,3120,6374,코스피285위,신성이엔지
285,29550,29000,6365,코스피286위,JW중외제약
286,9650,9720,6361,코스피287위,드림텍
287,57100,56600,6281,코스피288위,부산가스
288,4475,4460,6265,코스피289위,미래에셋대우2우B
289,40600,40450,6251,코스피290위,롯데정보통신
290,21350,21700,6244,코스피291위,코스모신소재
291,43020,42315,6216,,KOSEF 200
292,3110,3100,6207,코스피293위,유안타증권
293,71600,70700,6178,코스피294위,SPC삼립
294,27700,27750,6074,코스피295위,잇츠한불
295,10550,10450,6071,코스피296위,우리금융캐피탈
296,42865,42250,6065,,HANARO 200
297,2795,2775,5997,코스피298위,한화투자증권
298,57400,56600,5920,코스피299위,삼양사
299,50600,51200,5854,코스피300위,서흥
300,34400,34100,5848,코스피301위,해성디에스
301,7010,6980,5838,코스피302위,한진중공업
302,23500,23300,5828,코스피303위,율촌화학
303,59100,58300,5822,코스피304위,빙그레
304,663,675,5796,코스피305위,우리종금
305,11635,12100,5743,,TIGER 차이나전기차SOLACTIVE
306,112500,110000,5738,코스피307위,미원에스씨
307,41750,40700,5693,코스피308위,영원무역홀딩스
308,38750,38000,5687,코스피309위,SGC에너지
309,62800,64000,5583,코스피310위,유니드
310,5700,5710,5456,코스피311위,BGF
311,11500,11300,5438,코스피312위,SK렌터카
312,1735,1730,5384,코스피313위,롯데손해보험
313,25650,25400,5351,코스피314위,케이씨텍
314,14900,14750,5343,코스피315위,세아베스틸
315,105000,105000,5260,코스피316위,종근당홀딩스
316,20850,20800,5256,코스피317위,코오롱글로벌
317,2075,2060,5239,코스피318위,한국토지신탁
318,55700,55400,5228,코스피319위,신영증권
319,11750,11550,5165,코스피320위,한국카본
320,7360,7360,5152,,QV 코스피 변동성 매칭형 양매도 ETN
321,27600,27800,5127,코스피322위,한국콜마홀딩스
322,3650,3580,5020,코스피323위,삼부토건
323,3950,3950,4897,코스피324위,한국자산신탁
324,97400,95500,4870,코스피325위,서울가스
325,50150,49140,4865,,KOSEF 200TR
326,11550,11850,4814,코스피327위,디피씨
327,14350,14140,4779,,SMART 200TR
328,7390,7380,4778,코스피329위,교보증권
329,7740,7540,4764,코스피330위,삼성제약
330,28185,28070,4721,,KODEX 미국FANG플러스(H)
331,12050,11800,4687,코스피332위,태영건설
332,15900,16100,4649,코스피333위,LF
333,12860,12760,4649,,TIGER KRX BBIG K-뉴딜
334,4200,4205,4628,코스피335위,남선알미늄
335,8720,8870,4571,코스피336위,광동제약
336,18200,18600,4547,코스피337위,교촌에프앤비
337,28250,28600,4545,코스피338위,대성홀딩스
338,4850,4670,4529,코스피339위,필룩스
339,1135,1145,4524,코스피340위,에이프로젠제약
340,19000,19250,4518,코스피341위,선진
341,13450,13000,4438,코스피342위,모토닉
342,42150,41650,4414,코스피343위,한라홀딩스
343,4735,4875,4394,,KODEX 코스닥150선물인버스
344,388000,387000,4392,코스피345위,롯데푸드
345,137500,137500,4389,코스피346위,삼성화재우
346,18250,18250,4380,코스피347위,송원산업
347,3750,3785,4378,코스피348위,한화손해보험
348,37500,37600,4342,코스피349위,지역난방공사
349,8700,8690,4322,코스피350위,남해화학
350,23650,23450,4317,코스피351위,SBS
351,7760,7680,4293,코스피352위,화승인더
352,3770,3725,4255,코스피353위,현대퓨처넷
353,172500,159000,4253,코스피354위,DI동일
354,17700,17900,4213,코스피355위,일동제약
355,31650,32100,4193,코스피356위,AK홀딩스
356,20175,19755,4156,,KODEX Top5PlusTR
357,2770,0,4151,코스피358위,쌍용차
358,23500,23230,4148,,KODEX 자동차
359,45750,46450,4098,코스피360위,아세아제지
360,8470,8520,4051,코스피361위,스카이라이프
361,14450,13900,4036,코스피362위,동화약품
362,850,855,4017,코스피363위,SK증권
363,17450,19550,4014,코스피364위,고려제강
364,28850,27000,4000,코스피365위,KG케미칼
365,55800,55600,3936,코스피366위,신영증권우
366,14105,13680,3935,,KODEX 코스닥 150
367,9505,9520,3911,,KODEX WTI원유선물(H)
368,7800,7800,3900,,삼성 코스피 양매도 5% OTM ETN
369,4655,4590,3873,코스피370위,알루코
370,28500,28250,3863,코스피371위,케이씨
371,11450,11650,3858,코스피372위,엔에스쇼핑
372,27950,28300,3847,코스피373위,한독
