,value,open_value,market_cap(억원),market_cap_rank,title
0,82500,82800,4925071,코스피1위,삼성전자
1,141500,143500,103123,코스피2위,SK하이닉스
2,375000,372000,615988,코스피3위,NAVER
3,72800,72700,599062,코스피4위,삼성전자우
4,831000,865000,586622,코스피5위,LG화학
5,237000,238500,506394,코스피6위,현대차
6,750000,763000,496238,코스피7위,삼성바이오로직스
7,674000,683000,463473,코스피8위,삼성SDI
8,488000,497500,432749,코스피9위,카카오
9,297500,300000,401707,코스피10위,셀트리온
10,79400,74500,321858,코스피11위,기아차
11,303000,305500,288016,코스피12위,현대모비스
12,281500,279000,245431,코스피13위,POSCO
13,260500,259500,24873,코스피14위,SK이노베이션
14,146500,148000,239744,코스피15위,LG전자
15,1513000,1566000,236303,코스피16위,LG생활건강
16,121500,122500,227068,코스피17위,삼성물산
17,936000,951000,205490,코스피18위,엔씨소프트
18,247500,247000,199846,코스피19위,SK텔레콤
19,262500,268000,184696,코스피20위,SK
20,43800,44650,182124,코스피21위,KB금융
21,32950,33650,17220,코스피22위,신한지주
22,93900,94900,162031,코스피23위,LG
23,194500,194500,15500,코스피24위,삼성에스디에스
24,75000,75400,15,코스피25위,삼성생명
25,22700,22900,145726,코스피26위,한국전력
26,189500,190500,141545,코스피27위,삼성전기
27,234500,232000,137085,코스피28위,아모레퍼시픽
28,158000,158000,122392,코스피29위,포스코케미칼
29,37050,37400,111240,코스피30위,하나금융지주
30,318000,313500,108996,코스피31위,롯데케미칼
31,78300,79200,107500,코스피32위,KT&G
32,123500,126500,106070,코스피33위,넷마블
33,85000,85400,95695,코스피34위,S-Oil
34,118000,122000,92410,코스피35위,SK바이오팜
35,15450,15700,82472,코스피36위,한온시스템
36,173000,173500,81958,코스피37위,삼성화재
37,22600,22850,8866,코스피38위,LG디스플레이
38,112000,111000,79266,코스피39위,한국조선해양
39,403500,410500,76140,코스피40위,고려아연
40,206500,202500,73563,코스피41위,빅히트
41,193000,187500,72375,코스피42위,현대글로비스
42,45050,45500,72019,코스피43위,한화솔루션
43,9580,9750,69193,코스피44위,우리금융지주
44,26000,25900,67889,코스피45위,KT
45,211000,212000,64287,코스피46위,금호석유
46,19000,17900,62322,코스피47위,HMM
47,8330,8420,61531,코스피48위,기업은행
48,406500,400000,61195,코스피49위,CJ제일제당
49,9340,9510,6273,코스피50위,미래에셋대우
50,47650,49950,59026,코스피51위,한국타이어앤테크놀로지
51,64700,63800,53350,코스피52위,아모레G
52,39950,40000,53312,코스피53위,현대제철
53,24200,24200,51774,코스피54위,강원랜드
54,11800,12000,51520,코스피55위,LG유플러스
55,41705,41960,5880,,KODEX 200
56,128500,131500,5804,코스피57위,오리온
57,28150,28200,49040,코스피58위,대한항공
58,87300,90000,48649,코스피59위,한국금융지주
59,64700,66000,47748,코스피60위,코웨이
60,169000,170000,47110,코스피61위,이마트
