,value,open_value,market_cap(억원),market_cap_rank,title
0,83600,85100,499738,코스피1위,삼성전자
1,144500,149000,1051963,코스피2위,SK하이닉스
2,891000,863000,628978,코스피3위,LG화학
3,377500,389000,6294,코스피4위,NAVER
4,73100,74200,601530,코스피5위,삼성전자우
5,239000,244500,51667,코스피6위,현대차
6,753000,757000,498222,코스피7위,삼성바이오로직스
7,684000,696000,47349,코스피8위,삼성SDI
8,491500,499000,435853,코스피9위,카카오
9,291500,302500,393606,코스피10위,셀트리온
10,80100,81600,324696,코스피11위,기아차
11,308500,308500,292437,코스피12위,현대모비스
12,285000,289000,248482,코스피13위,POSCO
13,265000,268000,245034,코스피14위,SK이노베이션
14,149000,150500,243835,코스피15위,LG전자
15,1505000,1536000,235054,코스피16위,LG생활건강
16,122500,123500,228937,코스피17위,삼성물산
17,946000,949000,207685,코스피18위,엔씨소프트
18,247500,250500,199846,코스피19위,SK텔레콤
19,274000,270000,192787,코스피20위,SK
20,44500,44250,185035,코스피21위,KB금융
21,33250,33400,171769,코스피22위,신한지주
22,93300,95400,16996,코스피23위,LG
23,78400,76200,156800,코스피24위,삼성생명
24,201500,195500,15508,코스피25위,삼성전기
25,191500,198000,148178,코스피26위,삼성에스디에스
26,22900,22950,147010,코스피27위,한국전력
27,235500,237500,137670,코스피28위,아모레퍼시픽
28,155000,163500,1268,코스피29위,포스코케미칼
29,37900,37800,113792,코스피30위,하나금융지주
30,323500,329000,11881,코스피31위,롯데케미칼
31,78100,78600,107225,코스피32위,KT&G
32,123500,126500,106070,코스피33위,넷마블
33,84600,86400,95245,코스피34위,S-Oil
34,17300,16200,92347,코스피35위,한온시스템
35,112000,120500,87711,코스피36위,SK바이오팜
36,181000,176500,85748,코스피37위,삼성화재
37,23000,23300,82298,코스피38위,LG디스플레이
38,110500,115000,78204,코스피39위,한국조선해양
39,407000,408500,76801,코스피40위,고려아연
40,207000,213000,73741,코스피41위,빅히트
41,193500,197500,72562,코스피42위,현대글로비스
42,45250,46250,72339,코스피43위,한화솔루션
43,9730,9650,7277,코스피44위,우리금융지주
44,26100,26250,68150,코스피45위,KT
45,209000,217500,63677,코스피46위,금호석유
46,8390,8400,61974,코스피47위,기업은행
47,18800,19750,61676,코스피48위,HMM
48,9390,9490,6595,코스피49위,미래에셋대우
49,400000,408000,6217,코스피50위,CJ제일제당
50,47950,49000,59398,코스피51위,한국타이어앤테크놀로지
51,40700,41200,54312,코스피52위,현대제철
52,63800,64700,52608,코스피53위,아모레G
53,12000,11950,52393,코스피54위,LG유플러스
54,24250,24500,51881,코스피55위,강원랜드
55,130500,129500,51595,코스피56위,오리온
56,42170,42705,51384,,KODEX 200
57,87300,88800,48649,코스피58위,한국금융지주
58,90900,85700,48163,코스피59위,신풍제약
59,203000,207000,48044,코스피60위,LG이노텍
60,27550,28450,47995,코스피61위,대한항공
61,64900,64900,47896,코스피62위,코웨이
62,170500,173000,47528,코스피63위,이마트
63,40000,40600,44542,코스피64위,현대건설
64,116500,121500,44117,코스피65위,SKC
65,371500,385500,43415,코스피66위,녹십자
66,61900,63100,43313,코스피67위,유한양행
67,365500,384000,42915,코스피68위,SK케미칼
68,270500,273000,42735,코스피69위,현대중공업지주
69,11150,11150,41499,,맥쿼리인프라
70,6560,6670,41328,코스피71위,삼성중공업
71,61100,60000,41123,코스피72위,한미사이언스
72,40300,40500,4179,코스피73위,동서
73,10700,10900,486,코스피74위,두산중공업
74,59300,60700,39294,코스피75위,한진칼
75,319000,315000,38530,코스피76위,한미약품
76,33100,32800,38349,코스피77위,삼성카드
77,104500,105000,38127,코스피78위,현대차2우B
78,163000,166000,37184,코스피79위,CJ대한통운
79,38500,39800,35772,코스피80위,GS
80,33400,33750,35040,코스피81위,롯데지주
81,121500,121000,34371,코스피82위,롯데쇼핑
82,6700,6740,33759,코스피83위,쌍용양회
83,129000,131500,33454,코스피84위,키움증권
84,33200,32750,33283,코스피85위,두산밥캣
85,50800,52000,33271,코스피86위,두산퓨얼셀
86,37050,37300,33086,코스피87위,삼성증권
87,33800,34700,32947,코스피88위,한국항공우주
88,109000,115000,32907,코스피89위,더존비즈온
89,82400,82600,32340,코스피90위,호텔신라
90,69500,71600,32047,코스피91위,일진머티리얼즈
91,83400,82500,31691,코스피92위,에스원
92,37000,37000,31554,코스피93위,GS건설
93,409500,405000,31486,코스피94위,LG화학우
94,11000,11050,3955,코스피95위,NH투자증권
95,64500,63900,3287,코스피96위,만도
96,32700,32500,3186,코스피97위,한국가스공사
97,5630,5770,396,코스피98위,팬오션
98,42050,41400,29771,코스피99위,DB손해보험
99,122000,130000,29096,코스피100위,OCI
100,3190,3165,27706,코스피101위,한화생명
101,35900,36550,27643,코스피102위,GS리테일
102,159000,159500,27481,코스피103위,BGF리테일
103,277500,273500,27320,코스피104위,신세계
104,25450,25800,27305,코스피105위,대우조선해양
105,129500,133000,27195,코스피106위,현대오토에버
106,237500,247000,26921,코스피107위,한솔케미칼
107,21650,22800,26711,코스피108위,포스코인터내셔널
108,91400,93600,26668,코스피109위,CJ
109,42020,42495,26641,,TIGER 200
110,107000,107500,26062,코스피111위,현대차우
111,3835,3810,25923,코스피112위,메리츠증권
112,12800,13150,25088,코스피113위,삼성엔지니어링
113,56400,58100,25041,코스피114위,DB하이텍
114,40000,40650,24301,코스피115위,휠라홀딩스
115,5830,5940,24231,코스피116위,대우건설
116,34500,34550,24196,코스피117위,하이트진로
117,99500,100000,23416,코스피118위,한샘
118,349500,374000,22718,코스피119위,대한유화
119,20350,21550,22432,코스피120위,한화시스템
120,69600,71000,22411,코스피121위,LS
121,19450,19600,22376,코스피122위,제일기획
122,29550,30150,22150,코스피123위,한화
123,36500,39900,21935,코스피124위,프레스티지바이오파마
124,37400,36900,21745,코스피125위,대웅
125,79900,78900,21729,코스피126위,현대위아
126,19750,20150,21556,코스피127위,현대로템
127,138000,140000,21252,코스피128위,F&F
128,53000,55000,21169,코스피129위,현대미포조선
129,109000,113000,21101,코스피130위,DL이앤씨
130,569000,562000,2894,코스피131위,오뚜기
131,2130,2070,2386,,KODEX 200선물인버스2X
132,16600,16250,224,코스피133위,메리츠화재
133,22300,21800,19936,코스피134위,현대해상
134,171500,172000,19596,코스피135위,종근당
135,5940,5940,19361,코스피136위,BNK금융지주
136,82200,83900,19237,코스피137위,현대백화점
137,102730,102725,19147,,KODEX 단기채권
138,37600,38750,19037,코스피139위,한화에어로스페이스
139,422000,430000,18263,코스피140위,효성티앤씨
140,41200,43050,18256,코스피141위,영원무역
141,201000,203500,17862,코스피142위,KCC
142,10085,10135,17719,,KODEX 삼성그룹
143,26800,27100,17663,코스피144위,HDC현대산업개발
144,42800,43450,17469,코스피145위,현대엘리베이
145,26410,27010,17378,,KODEX 레버리지
146,36650,37700,17236,코스피147위,녹십자홀딩스
