,title,company,foregin,repl
0,삼성전자,-3327093,-10726449,"['이재용님특사로나오실줄알고', '내일떡락할수도있다', '전기차모터사라오른다.', '내일외인들이매수할까?', '유트브쉐끼들.', '성적이좋을수록사람마음을', '충~~~~~~~~~~~~~~성!!!!!!...', '우린죽는다!!!!3년간외침.자폭...', '머휴일에도뉴스가이렇게나오노.', '벌받았다////////////////...[1]', '참남들거시기보면서', '김기남아저씨이재용부회장형님아', '반도체상승장난아니네[1]', '내일은상승예상', '필반개떡락중[3]', '필반개떡락중', '게임끝..필반급등..', '3.1절때문에손해봤네씨발꺼[1]', '4만전자에서8만전자까지딱일년걸렸다', '삼성전자고민하는투자자가알아야할3가...']"
1,SK하이닉스,-637625,-2588861,"['[SK하이닉스]SK하이닉스마케터는뭔...', '형님들[2]', '특보요!', '비대면주주가?고공행진자세히보시면...', '원래현대껀데', '국정원딸은20년만에', '국정원딸지니클럽아그들이', '국정원딸아.니학교칭구', '내일장난아니겠네', '기분좋은저녁', '외인들수급들어오나!!', '지수예측', '2017~2020년영업이익총정리PB...', '모든업종의사업체매물한곳에있는곳...[1]', '내일', '포인트', '하이닉스주가는.[1]', '내일은15하닉예약', '참고하세요', '한국좌파의실체']"
2,NAVER,-114098,-104883,[]
3,삼성전자우,-52813,-837596,"['고공행진은비대면주그러나실적최고인...', '삼성전자우매수방법알려드립니다.-Y...', ""pl지:금갤릭시S'21:똥:값으로풀..."", '간다간다', '이제삼전우3000정도박고천천히...', '삼전12만고고ㅋ[1]', '모든업종의사업체매물한곳에있는곳...', '삼성전자더오릅니다.상승여력전망및...', '4년간(2017~2020년)영업이익총...', '◆삼성전자(우):향후10년간5~1...[1]', '◆주식초보자(5년이하)들이수익...[2]', '삼성전자와삼성전자우의차이점은무엇인가...', '◆삼전(우):우선주가보통주보다저...[1]', '◆반도체수퍼사이클더세계온다:영...[1]', '◆삼성전자목표가:120000원:...', '◆삼성전자자회사하만미국스타트업...', '내일은제발[1]', '삼성전자우팩트만말함[1]', '내일부터오를일만남았네', '개잡주공매도쳐라외국인기관들아~~...']"
4,LG화학,-82492,-157824,"['""네가왜', '자잘보셔유...', '비대면주주가?고공행진자세히보시면...', '엘화폭망...', '주린이', '자장기우상향이다', '난궁금하다내일은외국인[1]', '수급들어온다', '모든업종의사업체매물한곳에있는곳...', '동학LG화학운동하자!LG배터리전기차...[1]', '지수예측', '2017~2020년영업이익총정리P...', '백날짖어라', '기관외인들얼마에샀길래계속팔아먹...[1]', 'LG에너지솔루션나스닥상장설솔솔[2]', '정말코나배터리잔량을3.5%로셋팅...', '분할이후에도', '케미칼대장주', '술김에한마디해준다[1]', '내일만나자']"
5,현대차,-116182,-483694,"['찬티들수준', '게이츠도수소가치', '오늘미장새벽내일까지선방하길바라자', '기업총수바끼는데공정위의허가가있어...', '전.라.도', '비대면주주가?고공행진자세히보시면...', '당시우즈가몰던차는', '다우유럽떡상중', '매국노집단이국내자본을독식하고[2]', '유럽꼴랑3000대ㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋ[4]', '현차수소차관련주아시는분', '현대로템', '수소차는국내독점[3]', '총수교체', '형님들질문하나요[1]', '현차배당금[1]', '2017~2020년영업이익총정리P...', '모든업종의사업체매물한곳에있는곳...', '3월은우즈형님이캐리해줄꺼라믿고...', '아이오닉5를현대가자신있었으면대량생...[24]']"
6,삼성바이오로직스,-16219,-1312,[]
7,삼성SDI,-64041,-94654,"['긴급악재)실시간기사확인~폭락~다우떡[1]', '테슬라는현대차라는강력한라이벌등장...[2]', '2017~2020년영업이익총정리P...', '지수예측', '참고하세요', '오늘나스닥[3]', '결론났네유.황화물전해질고체유력3인방공...[1]', '뉴스1기사떳네요[1]', '주식13조던진국민연금16조더...[1]', '삼성SDI주가전망""2차전지찐대장...', '세계증시폭듯[1]', '고점대비반토막[4]', '전세계배터리0.1%도안돼몸도안풀...[2]', '전기차세상의대왕!', '열심히일하신분들꼭보세요.행운을남...', '인플레이션우려이미선반영', '공무원은화이자백신놔준다고?[1]', '미국ess시장대박성장예감...', '낼', '삼성sdi랑sk하이닉스[1]']"
8,카카오,-108256,-464211,[]
9,셀트리온,-14695,-185132,"['니들은희망회로돌리지마라.', '■■주가는다시상승합니다~■■', '■■렉키로나유럽허가초읽기■■', '@내가바보심하다', '코쟁이부양효과?', '냐일은종합지수는좋겠지만이것은??', '셀트리온네거티브들의진실', '셀트리온항암제개발회사인수합병검토중', '셀트리온', '코로나방역으로파리목숨인공호흡연명하...', '비대면주주가?고공행진자세히보시면...', '헬헬되는족속들니들은누구니??[1]', '셀트리온항암제개발회사인수', '박카스는잊어라ㅋㅋㅋ', '유럽렉키로나EMA승인!!첫수출!...[3]', '셀트리온치킨게임강력하게시작해야합니...', ""pi지:금갤릭시S'21:똥:값으로풀..."", '■■“미국fdanda제출임박”■■', '친일죡바리강아지유신독재자찬양하는넘...', '현재1주당지분(bps)23717원...']"
